seed,arm,genetic_results,metric_sortino_is,metric_pf_is,metric_pnl_is,metric_pnl_is_num,metric_dd_is,metric_dd_is_num,metric_trades_day_is,metric_ppt_is,metric_ppt_is_num,metric_sortino_oos,metric_pf_oos,metric_pnl_oos,metric_pnl_oos_num,metric_dd_oos,metric_dd_oos_num,metric_trades_day_oos,metric_ppt_oos,metric_ppt_oos_num
101,baseline_master,Trend\parameters\genetic_results_2026-05-03-3.csv,3.845,1.2538,"$56,545.71",56545.71,"$11,106.61",11106.61,1.181,,,4.0066,,,,,,,,
101,branch_ga-parameter-context,Trend\parameters\genetic_results_2026-05-04-abcode_20260504_011536_s101_branch_ga-parameter-context.csv,5.2592,1.2213,"$79,955.29",79955.29,"$17,762.91",17762.91,1.19,$68.57,68.57,2.0811,1.0355,"$10,776.19",10776.19,"$23,675.23",23675.23,1.07,$12.23,12.23
202,baseline_master,Trend\parameters\genetic_results_2026-05-04-1.csv,2.6684,1.3583,"$88,449.33",88449.33,"$11,888.90",11888.9,1.161,,,0.623,,,,,,,,
202,branch_ga-parameter-context,Trend\parameters\genetic_results_2026-05-04-abcode_20260504_011536_s202_branch_ga-parameter-context.csv,5.5744,1.2924,"$125,491.24",125491.24,"$13,531.48",13531.48,1.253,$102.19,102.19,-0.1523,0.9955,"$-1,609.74",-1609.74,"$28,115.32",28115.32,1.114,$-1.76,-1.76
303,baseline_master,Trend\parameters\genetic_results_2026-05-04-2.csv,2.6555,1.5172,"$92,015.09",92015.09,"$8,657.25",8657.25,1.059,,,0.1865,,,,,,,,
303,branch_ga-parameter-context,Trend\parameters\genetic_results_2026-05-04-abcode_20260504_011536_s303_branch_ga-parameter-context.csv,4.5802,1.2626,"$114,416.43",114416.43,"$18,622.19",18622.19,1.182,$99.06,99.06,3.9129,1.0863,"$32,663.19",32663.19,"$16,797.26",16797.26,1.084,$36.74,36.74
